CustomerID,Name,Gender,Age,AnnualIncome,SpendingScore,Membership,VisitsPerMonth,PreferredCategories,AvgTimeSpent,TransportationMode,DistanceFromMall,LastVisitDate,AvgSpendingPerVisit,City,PaymentMethod,FeedbackScore
11,Iwan Putra,Male,39.0,614000000.0,52.0,Bronze,6.0,"Jewelry, Entertainment, Sports, Books",72.0,Car,9.8,2025-02-01,266874,Jakarta,Credit Card,3.0
12,Pandu Saputra,Male,54.0,71000000.0,60.0,Bronze,1.0,Groceries,85.0,Car,27.0,2024-12-27,33431,Jakarta,Credit Card,4.0
13,Rizki Utama,Male,50.0,42000000.0,35.0,Bronze,4.0,"Food, Fashion, Beauty, Home, Books, Sports, Groceries, Entertainment",50.0,Public Transport,25.0,2025-02-24,281749,Jakarta,E-wallet,5.0
14,Kurniawan Wijaya,Male,23.0,82000000.0,77.0,Bronze,7.0,,64.0,Public Transport,17.7,2024-10-01,413533,Jakarta,Cash,4.0
15,Fitri Pratama,Female,56.0,130000000.0,58.0,Bronze,8.0,"Entertainment, Beauty, Groceries, Books, Fashion, Food, Electronics, Sports, Home",84.0,Public Transport,12.1,2024-11-18,10000,Jakarta,E-wallet,5.0
16,Muhammad Hidayat,Male,42.0,195000000.0,,Silver,0.0,Sports,130.0,Public Transport,28.0,2025-02-02,10000,Jakarta,Debit Card,4.0
17,Erni Hakim,Female,53.0,51000000.0,47.0,Bronze,9.0,"Home, Jewelry, Beauty",109.0,Motorcycle,27.8,2025-02-06,679810,Jakarta,Debit Card,4.0
18,Kartika Gunawan,Female,47.0,122000000.0,45.0,Bronze,10.0,Electronics,104.0,Taxi/Ride-sharing,10.7,2025-01-29,897309,Jakarta,Credit Card,5.0
19,Citra Hermawan,Female,26.0,83000000.0,58.0,Silver,3.0,Entertainment,97.0,Motorcycle,5.5,2025-02-01,615096,Jakarta,E-wallet,4.0
20,Eko Kusuma,Male,32.0,137000000.0,51.0,Bronze,5.0,"Books, Sports, Beauty, Entertainment, Electronics, Food",36.0,Car,3.6,2025-02-14,836357,Jakarta,E-wallet,4.0
21,Lestari Sari,Female,47.0,43000000.0,59.0,Bronze,5.0,"Fashion, Sports, Groceries, Beauty, Entertainment",74.0,Motorcycle,23.3,2024-05-26,252241,Jakarta,Debit Card,1.0
22,Kurniawan Susanto,Male,18.0,52000000.0,62.0,Bronze,1.0,Entertainment,116.0,Public Transport,3.0,2024-11-24,480661,Semarang,Credit Card,2.0
23,Oktavia Putra,Female,56.0,76000000.0,5.0,Bronze,7.0,"Electronics, Entertainment, Sports",141.0,Public Transport,16.5,2025-02-13,334285,Jakarta,Credit Card,4.0
24,Dewi Hermawan,Female,31.0,161000000.0,69.0,Platinum,10.0,"Food, Home, Jewelry, Entertainment, Electronics",126.0,Car,83.4,2024-07-06,449049,Jakarta,E-wallet,5.0
25,Citra Putra,Female,61.0,174000000.0,48.0,Bronze,10.0,"Food, Fashion, Jewelry, Entertainment",57.0,Car,21.3,2025-03-03,78600,Jakarta,Debit Card,3.0
26,Juwita Sari,Female,63.0,74000000.0,43.0,Bronze,5.0,Home,72.0,Car,7.1,2025-01-28,542515,Surabaya,Credit Card,5.0
27,Lestari Utama,Female,38.0,71000000.0,84.0,Bronze,4.0,"Beauty, Books, Home, Groceries",113.0,nan,28.5,2025-01-12,10000,Denpasar,E-wallet,5.0
28,Gita Hartono,Female,38.0,72000000.0,56.0,Bronze,1.0,Sports,143.0,Car,11.4,2025-03-01,739088,Jakarta,E-wallet,3.0
29,Bintang Saputra,Female,64.0,116000000.0,32.0,Bronze,1.0,"Electronics, Home",96.0,Motorcycle,6.0,2025-02-21,587212,Bandung,Cash,4.0
30,Juwita Hartono,Female,25.0,33000000.0,72.0,Silver,7.0,"Electronics, Entertainment, Groceries, Beauty, Food, Books",37.0,Motorcycle,9.8,2025-02-14,1039378,Semarang,E-wallet,5.0
31,Joko Gunawan,Male,21.0,92000000.0,62.0,Gold,0.0,"Sports, Groceries, Beauty",65.0,Taxi/Ride-sharing,17.2,2024-12-17,228527,Bandung,E-wallet,5.0
32,Oki Hidayat,Male,46.0,85000000.0,37.0,Bronze,2.0,"Beauty, Jewelry, Entertainment, Home, Groceries, Electronics",110.0,Public Transport,2.0,2024-09-16,775534,Balikpapan,nan,5.0
33,Oktavia Kusuma,Female,50.0,182000000.0,40.0,Bronze,1.0,Beauty,64.0,Taxi/Ride-sharing,2.5,2025-01-04,998650,Balikpapan,Credit Card,5.0
34,Fitri Kusuma,Female,31.0,84000000.0,62.0,Silver,10.0,"Groceries, Electronics, Entertainment, Fashion, Books, Beauty",45.0,Motorcycle,8.7,2025-01-13,647800,Jakarta,Credit Card,3.0
35,Lestari Hakim,Female,25.0,80000000.0,48.0,Bronze,1.0,Entertainment,96.0,Taxi/Ride-sharing,20.2,2025-01-16,832824,Jakarta,nan,3.0
36,Kurniawan Hartono,Male,54.0,302000000.0,49.0,Bronze,1.0,,82.0,Car,1.8,2025-02-06,10000,Semarang,Cash,4.0
37,Wulan Wibowo,Female,43.0,175000000.0,56.0,Bronze,9.0,"Jewelry, Books, Food",144.0,Motorcycle,0.12,2024-11-18,419201,Pontianak,Debit Card,5.0
38,Wahyu Saputra,Male,34.0,134000000.0,53.0,Bronze,7.0,"Food, Groceries, Sports, Beauty, Electronics",39.0,Public Transport,17.2,2025-01-16,648545,Palembang,Debit Card,1.0
39,Hadi Suryanto,Male,25.0,97000000.0,69.0,Bronze,10.0,"Fashion, Entertainment, Home",224.0,Car,24.8,2025-02-16,726204,Jakarta,Debit Card,5.0
40,Oki Hidayat,Male,43.0,130000000.0,26.0,Silver,2.0,"Fashion, Entertainment, Books, Beauty, Food",78.0,Taxi/Ride-sharing,10.8,2025-02-23,844794,Jakarta,Credit Card,3.0
41,Wahyu Saputra,Male,51.0,36000000.0,52.0,Silver,,"Electronics, Entertainment",194.0,Motorcycle,20.7,2024-06-22,377130,Yogyakarta,BNPL,5.0
42,Muhammad Susanto,Male,53.0,129000000.0,71.0,Bronze,7.0,"Fashion, Jewelry, Beauty",51.0,Motorcycle,23.8,2025-03-02,254736,Surabaya,Credit Card,4.0
43,Hesti Susanto,Female,30.0,83000000.0,57.0,Bronze,10.0,"Electronics, Books, Entertainment, Sports, Groceries",20.0,Car,15.9,2024-09-22,814682,Bandung,Debit Card,5.0
44,Kartika Hermawan,Female,42.0,775000000.0,62.0,Gold,3.0,"Beauty, Sports",14.0,Motorcycle,8.4,2025-02-17,272178,Medan,Debit Card,4.0
45,Indah Hartono,Female,31.0,197000000.0,63.0,Bronze,7.0,"Books, Jewelry, Groceries, Beauty, Home",94.0,Car,,2024-12-29,755063,Jakarta,Credit Card,5.0
46,Gita Utama,Female,29.0,161000000.0,56.0,Gold,10.0,"Books, Jewelry",53.0,Car,6.3,2025-02-10,279078,Denpasar,Cash,4.0
47,Kartika Hakim,Female,38.0,131000000.0,85.0,Bronze,5.0,"Food, Groceries, Entertainment",165.0,Taxi/Ride-sharing,,2024-11-06,1434659,Balikpapan,nan,5.0
48,Surya Hermawan,Male,20.0,174000000.0,40.0,Bronze,2.0,"Electronics, Sports, Beauty, Entertainment",37.0,Taxi/Ride-sharing,10.5,2025-01-15,507987,Surabaya,Debit Card,4.0
49,Oktavia Santoso,Female,68.0,109000000.0,75.0,Bronze,1.0,"Beauty, Groceries, Entertainment, Jewelry",97.0,Car,19.3,2025-02-22,633016,Medan,Debit Card,2.0
50,Indah Santoso,Female,43.0,148000000.0,24.0,Gold,8.0,,90.0,Motorcycle,26.5,2025-02-13,365274,Semarang,E-wallet,3.0
51,Joko Putra,Male,38.0,146000000.0,57.0,Bronze,7.0,"Food, Groceries",71.0,Motorcycle,19.2,2025-02-08,503780,Jakarta,Cash,5.0
52,Sari Hidayat,Female,47.0,56000000.0,54.0,Bronze,10.0,"Entertainment, Books, Food, Groceries, Home, Sports, Fashion, Electronics, Beauty",88.0,Motorcycle,27.3,2024-10-24,499852,Jakarta,Debit Card,4.0
53,Yusuf Pratama,Male,52.0,97000000.0,20.0,Bronze,1.0,Beauty,79.0,Motorcycle,13.9,2024-12-06,778741,Jakarta,Cash,
54,Tuti Hermawan,Female,34.0,194000000.0,27.0,Gold,4.0,"Electronics, Food, Books, Groceries",80.0,Motorcycle,19.5,2024-11-17,356157,Malang,Debit Card,5.0
55,Nugroho Saputra,Male,,,11.0,Gold,9.0,"Entertainment, Jewelry, Sports",25.0,Motorcycle,1.6,2025-02-28,646012,Jakarta,Cash,4.0
56,Erni Purnama,Female,67.0,31000000.0,43.0,Platinum,4.0,Home,33.0,Public Transport,23.0,2025-01-11,82282,Jakarta,E-wallet,3.0
57,Putri Hartono,Female,51.0,199000000.0,35.0,Platinum,10.0,Jewelry,83.0,Motorcycle,6.8,2024-03-03,3404141,Surabaya,Debit Card,4.0
58,Agus Gunawan,Male,62.0,29000000.0,34.0,Bronze,3.0,"Jewelry, Entertainment, Groceries",84.0,Car,5.1,2024-12-01,653325,Jakarta,Credit Card,
59,Firman Wibowo,Male,54.0,143000000.0,11.0,Bronze,5.0,"Books, Entertainment, Food",119.0,Motorcycle,12.1,2025-02-24,674003,Jakarta,Credit Card,3.0
60,Pandu Sari,Male,66.0,68000000.0,46.0,Bronze,6.0,Home,92.0,Motorcycle,15.4,2024-12-25,10000,Surabaya,Cash,4.0
61,Dedi Hermawan,Male,51.0,47000000.0,52.0,Bronze,3.0,"Food, Groceries, Entertainment, Books, Jewelry",92.0,Public Transport,10.1,2024-12-11,445495,Bandung,BNPL,4.0
62,Oki Sari,Male,27.0,130000000.0,67.0,Silver,3.0,"Jewelry, Home, Electronics, Fashion, Food, Groceries",106.0,Motorcycle,23.3,2025-01-19,429696,Bandung,Cash,5.0
63,Rizki Purnama,Male,35.0,116000000.0,32.0,Gold,4.0,"Books, Sports",27.0,Public Transport,4.7,2025-02-27,625840,Semarang,Debit Card,4.0
64,Kurniawan Putra,Male,66.0,133000000.0,56.0,Bronze,3.0,"Sports, Food, Books, Entertainment",91.0,Car,30.0,2025-03-01,1030492,Semarang,Credit Card,1.0
65,Budi Gunawan,Male,60.0,130000000.0,85.0,Silver,7.0,"Food, Home, Groceries, Electronics, Fashion, Entertainment, Sports, Jewelry, Beauty",116.0,Motorcycle,16.9,2024-09-18,510249,Surabaya,nan,5.0
66,Sari Hidayat,Female,83.0,121000000.0,41.0,Gold,0.0,Groceries,128.0,Public Transport,10.4,2025-02-14,544011,Medan,Debit Card,3.0
67,Kartika Gunawan,Female,25.0,155000000.0,53.0,Bronze,9.0,Electronics,144.0,Public Transport,14.5,2025-02-03,427428,Jakarta,Cash,4.0
68,Lutfi Pratama,Male,37.0,93000000.0,52.0,Bronze,5.0,Entertainment,108.0,Motorcycle,14.9,2024-11-28,245853,Surabaya,Debit Card,3.0
69,Fitri Suryanto,Female,25.0,47000000.0,29.0,Bronze,2.0,,33.0,Motorcycle,13.0,2024-12-23,892295,Jakarta,nan,5.0
70,Ani Hidayat,Female,68.0,99000000.0,58.0,Bronze,6.0,,58.0,Public Transport,5.9,2024-08-08,985965,Jakarta,Debit Card,4.0
71,Ratna Wibowo,Female,17.0,180000000.0,48.0,Bronze,3.0,"Electronics, Jewelry, Sports, Food, Entertainment",153.0,Car,19.2,2025-02-26,678705,Jakarta,Debit Card,4.0
72,Ratna Gunawan,Female,30.0,169000000.0,43.0,Bronze,6.0,Sports,77.0,Car,27.4,2024-12-20,300600,Jakarta,Credit Card,3.0
73,Lutfi Purnama,Male,59.0,182000000.0,52.0,Bronze,8.0,Sports,79.0,Motorcycle,13.1,2025-02-26,662897,Bandung,Cash,4.0
74,Wulan Hakim,Female,52.0,107000000.0,63.0,Platinum,3.0,"Groceries, Jewelry, Entertainment, Fashion, Home, Food",86.0,Car,20.3,2025-03-03,506056,Bandung,Credit Card,4.0
75,Firman Kusuma,Male,39.0,381000000.0,46.0,Bronze,10.0,"Food, Entertainment, Sports, Jewelry",92.0,Motorcycle,18.5,2025-02-24,813482,Jakarta,Debit Card,5.0
76,Fitri Putra,Female,47.0,140000000.0,20.0,Bronze,8.0,"Entertainment, Groceries",97.0,Car,25.1,2025-01-05,313237,Solo,E-wallet,3.0
77,Ratna Wijaya,Female,52.0,38000000.0,73.0,Platinum,4.0,"Jewelry, Home, Sports, Groceries, Beauty, Food, Electronics, Fashion",108.0,Public Transport,26.9,2024-12-26,565933,Bandung,E-wallet,1.0
78,Wulan Setiawan,Female,67.0,150000000.0,73.0,Bronze,6.0,"Books, Home, Sports",77.0,Car,8.3,2025-01-28,931125,Balikpapan,E-wallet,5.0
79,Surya Wijaya,Male,50.0,44000000.0,62.0,Bronze,8.0,"Fashion, Jewelry",101.0,Motorcycle,5.3,2025-03-01,2967120,Bandung,Cash,3.0
80,Dewi Kusuma,Female,34.0,116000000.0,43.0,Silver,1.0,"Books, Sports, Food",95.0,Public Transport,25.5,2025-01-02,425685,Jakarta,E-wallet,4.0
81,Lutfi Saputra,Male,66.0,137000000.0,55.0,Bronze,6.0,Food,109.0,Motorcycle,22.3,2025-02-26,743198,Solo,Debit Card,4.0
82,Bintang Saputra,Female,58.0,62000000.0,51.0,Silver,5.0,"Fashion, Home, Sports",51.0,Car,13.0,2025-02-22,132389,Balikpapan,Debit Card,4.0
83,Yusuf Hartono,Male,23.0,24000000.0,61.0,Bronze,1.0,"Fashion, Entertainment, Books, Electronics",45.0,Public Transport,24.9,2025-01-19,674039,Surabaya,Debit Card,4.0
84,Citra Ramadhan,Female,54.0,93000000.0,65.0,Bronze,2.0,"Home, Jewelry, Beauty, Electronics, Books",90.0,Car,15.2,2025-02-07,918001,Jakarta,Cash,1.0
85,Dedi Putra,Male,47.0,86000000.0,95.0,Bronze,7.0,"Home, Beauty, Sports, Fashion, Entertainment, Electronics, Groceries",112.0,Car,15.6,2025-01-25,355287,Jakarta,Cash,5.0
86,Firman Santoso,Male,51.0,98000000.0,53.0,Bronze,3.0,"Home, Beauty, Electronics",150.0,Car,23.8,2025-01-02,925095,Palembang,Debit Card,1.0
87,Putri Putra,Female,20.0,601000000.0,37.0,Silver,7.0,Sports,63.0,Car,87.2,2025-02-21,503785,Jakarta,Cash,5.0
88,Hadi Hidayat,Male,35.0,18000000.0,46.0,Silver,1.0,Jewelry,84.0,Public Transport,25.2,2024-10-20,452589,Medan,Debit Card,3.0
89,Ratna Sari,Female,56.0,182000000.0,32.0,Gold,8.0,"Jewelry, Food, Beauty",121.0,Public Transport,25.1,2025-01-13,1144337,Medan,Credit Card,5.0
90,Nita Hakim,Female,46.0,114000000.0,7.0,Silver,1.0,Groceries,86.0,Motorcycle,8.1,2025-03-02,98412,Jakarta,BNPL,4.0
91,Sari Hakim,Female,32.0,174000000.0,58.0,Bronze,6.0,,126.0,Walking,20.7,2025-01-03,372436,Makassar,BNPL,5.0
92,Juwita Hermawan,Female,69.0,116000000.0,61.0,Silver,10.0,Groceries,220.0,Car,26.7,2025-01-25,535816,Makassar,nan,2.0
93,Lestari Suryanto,Female,77.0,147000000.0,56.0,Silver,8.0,Sports,173.0,Motorcycle,25.9,2024-12-21,896257,Jakarta,E-wallet,5.0
94,Ratna Suryanto,Female,44.0,118000000.0,51.0,Silver,10.0,"Fashion, Beauty",27.0,Public Transport,10.1,2024-12-02,7786328,Surabaya,nan,4.0
95,Dewi Saputra,Female,27.0,142000000.0,69.0,Silver,2.0,Fashion,81.0,Public Transport,16.6,2024-09-17,176705,Denpasar,Debit Card,4.0
96,Hesti Hartono,Female,37.0,99000000.0,41.0,Bronze,5.0,"Books, Home",96.0,Car,27.7,2024-03-03,224904,Bandung,nan,4.0
97,Kartika Wijaya,Female,33.0,109000000.0,58.0,Bronze,7.0,"Books, Food, Fashion, Groceries",88.0,Public Transport,12.6,2025-01-15,41311,Medan,Debit Card,4.0
98,Tuti Putra,Female,68.0,,59.0,Silver,8.0,Fashion,93.0,Car,15.1,2025-01-13,403638,Surabaya,E-wallet,5.0
99,Hesti Utama,Female,64.0,82000000.0,65.0,Bronze,3.0,"Electronics, Entertainment, Food, Jewelry",86.0,Motorcycle,24.1,2025-03-02,10000,Jakarta,Cash,5.0
100,Joko Wijaya,Male,61.0,187000000.0,66.0,Bronze,9.0,"Home, Fashion",120.0,Motorcycle,25.5,2024-11-03,158256,Manado,Debit Card,4.0
101,Dedi Susanto,Male,57.0,122000000.0,85.0,Silver,,Home,91.0,Public Transport,8.7,2025-03-02,1847688,Bandung,BNPL,1.0
102,Hesti Hartono,Female,43.0,195000000.0,29.0,Bronze,9.0,"Fashion, Beauty",163.0,Car,14.8,2025-01-02,99505,Jakarta,Debit Card,4.0
103,Bintang Setiawan,Female,18.0,89000000.0,17.0,Bronze,6.0,"Electronics, Entertainment, Beauty, Food, Home, Groceries",51.0,Car,19.8,2025-02-25,10000,Makassar,Cash,2.0
104,Citra Purnama,Female,57.0,42000000.0,72.0,Bronze,10.0,"Fashion, Entertainment",225.0,Car,1.5,2025-02-11,665629,Medan,Debit Card,3.0
105,Hesti Hidayat,Female,29.0,162000000.0,59.0,Silver,3.0,"Sports, Food",95.0,Car,6.7,2025-02-22,222580,Jakarta,Debit Card,4.0
106,Putri Hakim,Female,23.0,66000000.0,47.0,Bronze,7.0,"Beauty, Books, Fashion, Home, Entertainment",104.0,Car,11.7,2025-02-23,123394,Balikpapan,E-wallet,5.0
107,Sari Santoso,Female,67.0,180000000.0,37.0,Silver,1.0,Beauty,93.0,Taxi/Ride-sharing,7.1,2025-02-27,810888,Jakarta,Debit Card,5.0
108,Tuti Utama,Female,41.0,188000000.0,34.0,Bronze,5.0,"Books, Fashion, Groceries, Home, Food, Sports, Entertainment",5.0,Car,7.3,2025-02-09,453017,Medan,Credit Card,4.0
109,Putri Saputra,Female,58.0,475000000.0,94.0,Bronze,4.0,"Fashion, Jewelry",68.0,Car,16.0,2025-01-29,160960,Surabaya,BNPL,4.0
110,Surya Pratama,Male,61.0,63000000.0,43.0,Bronze,6.0,"Jewelry, Groceries, Books, Home, Fashion, Electronics, Sports, Beauty",74.0,Motorcycle,10.9,2025-01-25,728825,Jakarta,E-wallet,2.0
111,Gita Gunawan,Female,35.0,193000000.0,55.0,Silver,3.0,Fashion,98.0,Public Transport,2.3,2025-01-28,2036216,Palembang,Credit Card,4.0
112,Eko Pratama,Male,64.0,621000000.0,41.0,Bronze,9.0,,88.0,Public Transport,77.0,2025-01-18,842743,Semarang,E-wallet,4.0
113,Lestari Pratama,Female,55.0,56000000.0,57.0,Platinum,9.0,"Entertainment, Electronics",89.0,Public Transport,27.7,2024-11-06,324883,Yogyakarta,Credit Card,4.0
114,Nita Suryanto,Female,62.0,72000000.0,39.0,Gold,6.0,"Beauty, Books",63.0,Car,1.3,2025-01-03,734337,Surabaya,Credit Card,4.0
115,Agus Gunawan,Male,26.0,68000000.0,48.0,Silver,3.0,"Food, Beauty, Fashion, Books, Entertainment, Groceries",140.0,Public Transport,16.3,2025-03-02,157357,Padang,E-wallet,3.0
116,Bintang Hermawan,Female,59.0,178000000.0,46.0,Gold,1.0,"Fashion, Food",20.0,Motorcycle,1.7,2025-02-20,593746,Jakarta,E-wallet,1.0
117,Muhammad Gunawan,Male,21.0,85000000.0,70.0,Bronze,4.0,"Sports, Entertainment, Food, Electronics, Jewelry",95.0,Motorcycle,16.2,2025-02-06,348136,Bandung,Credit Card,5.0
118,Hesti Hakim,Female,51.0,181000000.0,21.0,Bronze,5.0,"Books, Food",123.0,Walking,25.4,2024-09-06,966484,Padang,Cash,5.0
119,Gita Putra,Female,59.0,59000000.0,50.0,Silver,9.0,"Electronics, Entertainment",87.0,Public Transport,79.3,2025-02-27,421604,Jakarta,Cash,4.0
120,Rizki Santoso,Male,26.0,59000000.0,53.0,Silver,0.0,"Sports, Jewelry",47.0,Public Transport,6.8,2024-12-19,10000,Jakarta,BNPL,4.0
121,Nita Wibowo,Female,64.0,96000000.0,9.0,Gold,2.0,"Food, Fashion, Home, Books, Electronics, Entertainment",78.0,Car,25.3,2025-03-01,654270,Manado,E-wallet,4.0
122,Kurniawan Suryanto,Male,25.0,73000000.0,44.0,Silver,9.0,"Jewelry, Beauty, Books, Food, Fashion, Sports",29.0,Motorcycle,12.7,2025-02-04,846156,Solo,Debit Card,4.0
123,Hesti Hartono,Female,56.0,78000000.0,15.0,Platinum,0.0,"Entertainment, Food",75.0,Taxi/Ride-sharing,10.0,2024-12-05,1737597,Yogyakarta,Credit Card,5.0
124,Rizki Putra,Male,53.0,184000000.0,29.0,Bronze,,"Jewelry, Sports, Books",63.0,Motorcycle,16.3,2025-02-06,886811,Surabaya,Credit Card,5.0
125,Eko Susanto,Male,67.0,185000000.0,71.0,Silver,3.0,"Books, Electronics, Entertainment, Sports, Jewelry, Fashion",60.0,Car,15.5,2025-01-29,323758,Bandung,E-wallet,4.0
126,Sari Wijaya,Female,47.0,159000000.0,52.0,Silver,10.0,,85.0,Public Transport,3.4,2024-10-13,10000,Jakarta,Credit Card,4.0
127,Citra Saputra,Female,18.0,162000000.0,32.0,Silver,6.0,Fashion,52.0,Car,16.9,2025-02-27,653552,Surabaya,Debit Card,5.0
128,Hadi Pratama,Male,,53000000.0,30.0,Bronze,2.0,Food,41.0,Public Transport,21.2,2025-01-17,409595,Surabaya,Debit Card,4.0
129,Putri Ramadhan,Female,36.0,35000000.0,60.0,Silver,7.0,Fashion,97.0,Taxi/Ride-sharing,21.0,2025-02-04,1091289,Jakarta,Credit Card,4.0
130,Gita Hermawan,Female,31.0,110000000.0,15.0,Gold,9.0,"Food, Entertainment, Sports, Fashion, Groceries, Electronics, Home",70.0,Motorcycle,21.6,2024-08-16,171152,Surabaya,Credit Card,3.0
131,Bintang Wibowo,Female,36.0,54000000.0,24.0,Bronze,5.0,,,Motorcycle,11.6,2024-11-29,613424,Surabaya,Credit Card,3.0
132,Oki Wijaya,Male,24.0,97000000.0,66.0,Silver,9.0,"Food, Electronics, Jewelry",105.0,Car,15.5,2025-02-24,779128,Semarang,Debit Card,5.0
133,Oki Hidayat,Male,19.0,73000000.0,47.0,Bronze,7.0,Books,56.0,Taxi/Ride-sharing,4.1,2024-09-27,470679,Bandung,E-wallet,4.0
134,Rizki Nugraha,Male,67.0,128000000.0,30.0,Platinum,5.0,"Books, Fashion, Sports, Food, Entertainment, Jewelry, Groceries",95.0,Motorcycle,21.5,2025-02-17,362259,Balikpapan,Debit Card,4.0
135,Pandu Putra,Male,36.0,135000000.0,55.0,Bronze,10.0,Entertainment,54.0,Motorcycle,18.7,2025-02-26,723267,Jakarta,Cash,4.0
136,Surya Santoso,Male,63.0,193000000.0,4.0,Bronze,4.0,Beauty,96.0,Public Transport,5.7,2025-01-16,636792,Surabaya,Credit Card,5.0
137,Iwan Nugraha,Male,31.0,166000000.0,37.0,Bronze,2.0,"Beauty, Jewelry, Entertainment, Sports, Books, Electronics, Food",106.0,Car,16.4,2024-12-13,309465,Bandung,Cash,1.0
138,Iwan Susanto,Male,26.0,173000000.0,38.0,Silver,8.0,Food,79.0,Motorcycle,14.4,2024-12-18,140549,Jakarta,Cash,4.0
139,Yusuf Putra,Male,42.0,175000000.0,67.0,Bronze,1.0,"Electronics, Groceries, Entertainment, Sports, Beauty, Home, Food",69.0,Public Transport,13.0,2025-01-17,1015928,Jakarta,Debit Card,5.0
140,Agus Setiawan,Male,69.0,135000000.0,82.0,Silver,4.0,"Entertainment, Food, Books",80.0,nan,20.8,2025-01-22,798667,Semarang,nan,5.0
141,Bintang Susanto,Female,34.0,115000000.0,42.0,Gold,7.0,"Books, Jewelry, Home, Food, Entertainment",70.0,Car,24.6,2024-08-06,182425,Surabaya,E-wallet,5.0
142,Yusuf Ramadhan,Male,67.0,145000000.0,16.0,Gold,9.0,"Books, Beauty, Entertainment, Food, Sports, Groceries",76.0,Car,27.0,2024-11-20,461825,Malang,E-wallet,5.0
143,Ratna Purnama,Female,46.0,189000000.0,37.0,Bronze,0.0,"Food, Home, Fashion, Books",71.0,Motorcycle,26.9,2024-12-22,737142,Medan,Debit Card,5.0
144,Fitri Susanto,Female,36.0,27000000.0,51.0,Platinum,8.0,,119.0,Public Transport,,2025-02-18,66823,Jakarta,E-wallet,4.0
145,Ratna Hartono,Female,64.0,49000000.0,55.0,Silver,1.0,Entertainment,7.0,Motorcycle,25.3,2024-11-21,422610,Surabaya,E-wallet,4.0
146,Hadi Hartono,Male,20.0,146000000.0,55.0,Bronze,7.0,"Fashion, Sports",97.0,nan,30.0,2024-12-10,756005,Yogyakarta,Debit Card,5.0
147,Zaenal Hartono,Male,37.0,156000000.0,67.0,Bronze,10.0,Books,71.0,Car,5.1,2024-05-18,10000,Medan,Credit Card,3.0
148,Joko Hermawan,Male,58.0,38000000.0,27.0,Bronze,5.0,,91.0,Car,21.2,2025-02-23,10000,Balikpapan,Cash,4.0
149,Eko Utama,Male,30.0,57000000.0,49.0,Silver,4.0,"Electronics, Fashion",100.0,Car,0.99,2024-12-18,602072,Makassar,Debit Card,4.0
150,Hesti Utama,Female,53.0,186000000.0,14.0,Bronze,8.0,"Groceries, Jewelry, Sports",135.0,Taxi/Ride-sharing,6.4,2024-07-14,77148,Jakarta,BNPL,3.0
151,Zaenal Susanto,Male,27.0,,10.0,Bronze,3.0,"Beauty, Jewelry, Sports, Home, Groceries",105.0,Car,12.1,2025-01-25,950556,Jakarta,Debit Card,5.0
152,Zaenal Hartono,Male,64.0,173000000.0,43.0,Silver,2.0,Jewelry,67.0,Motorcycle,10.5,2024-12-14,777324,Medan,Cash,1.0
153,Pandu Utama,Male,25.0,49000000.0,38.0,Bronze,5.0,"Electronics, Books, Food",90.0,Motorcycle,9.5,2024-07-24,575352,Jakarta,Debit Card,5.0
